period,SMALL LoEP,ME1 EP2,SMALL HiEP,BIG LoEP,ME2 EP2,BIG HiEP
199807,-0.09812643233624367,-0.09701948040893622,0.03433085738854731,-0.06509167601326078,-0.06766368723870653,-0.005464
199808,-0.14875573888234106,-0.16525791857531308,-0.15548672078735157,-0.16691667019819248,-0.1262929674815984,-0.06536
199809,0.06482133101412957,-0.048876480537320306,0.006711405404246292,0.0578732463411498,0.04946649699956658,0.015246068859564643
199810,0.11114389680330174,0.04931734718942324,0.22342616403489732,0.10512650264132824,-0.005997540256450584,0.13401512304677335
199811,0.05089642966440783,-0.002217697762691609,0.07925742547932502,-0.00825770789090718,0.028683337671841586,0.2628352659630576
199812,0.035375808675550346,-0.002965492445299248,0.07530823675742805,0.0885185700368709,0.023216842908263213,0.011921512180705167
199901,0.016338469616693288,-0.018900427645957868,0.10607480979773473,0.058805352285995934,-0.010559950219049003,0.04773254050176847
199902,-0.05589031283961763,-0.06625894251667992,-0.05275319177572891,-0.08377408583306134,-0.07200193850721075,-0.16401454116241032
199903,0.00416225894683645,0.014515379343759021,-0.012469152977380155,-0.03791635118398202,-0.013555090757886194,0.07715128551137176
199904,0.12736178540968537,0.03693091336814579,0.003952641067833529,0.1877140618193618,0.00018126750514633767,-0.1578507976635095
199905,0.006844981462932691,0.0857913313626273,-0.06201978576195247,0.08512565775555556,0.009652532834551638,0.07597026023637864
199906,0.0288429680157711,0.005647671415053853,0.08103391538590683,0.056772471396158854,0.07900323409626303,-0.032063957661949104
199907,-0.035549915242593544,-0.03350944564834827,-0.04477125263858099,0.011581307620838033,-0.015695335559091587,-0.06515903558028571
199908,-0.061353908737183036,-0.03550780042997766,0.003829193504880969,-0.0685039508397631,-0.039724954977830886,-0.017611708075801258
199909,-0.04061363277383721,-0.05886111813617396,0.00018629905165232834,0.07343621622369177,-0.022884016669919016,-0.02488873132908552
199910,0.02672612316311008,-0.08398435859439218,-0.04220847874791591,0.039865773939961734,-0.06267526375613212,0.09615798281682006
199911,0.06300302062933519,0.03795278400049268,0.1959495559354435,0.29349381607403263,0.20579068228614042,0.04135321958292151
199912,-0.0009186178852675234,-0.0020673758893782626,0.13602160315249526,0.15508444942222,0.04019985659066445,-0.016874190394376508
200001,-0.1407878646365909,-0.1276793545953859,-0.18099406942891821,0.06806609162840746,-0.1274768085834067,-0.17349216538663378
200002,0.05358302313842444,0.0021584280175875655,1.057034,0.17882771302243838,-0.029758084855249067,0.20941411136817475
200003,0.014405179557638264,-0.03462154598461625,0.04164929071438969,0.11580293736910807,0.015260994209871568,0.09273610007968112
200004,-0.012592440763951163,-0.032349113633709216,-0.025453293308813046,-0.2411666183571564,-0.08281850836616643,0.020325
200005,-0.0631343498574659,-0.056252960726607494,0.011681003098015709,-0.014355533775661207,0.04369366858337025,0.01241805747380007
200006,0.1294904835710414,0.04982829193250578,0.0809937999494611,0.12144516276718942,0.08315698116956333,-0.04373620288627106
200007,-0.04850306517049477,-0.06431011465512089,0.030421443556186378,0.06743600297106483,0.019594520806506033,0.06845485700379707
200008,0.03015029875705038,0.05402382997268915,0.08984051627956202,0.11621237505095762,-0.014791867392845024,0.019669370929612785
200009,-0.06916918106688125,-0.03482856586194543,0.02705938558423751,0.0012181783154776625,-0.056881868863132526,-0.14615417561661645
200010,-0.05911974882091511,-0.01446096797633203,-0.11379223624585545,-0.19253778143380745,0.050596533428697334,0.02524116178621219
200011,-0.17491537688652842,-0.042799441477359756,-0.1465988054026343,-0.09181923661295528,-0.08324071737866394,-0.20052868469645269
200012,0.05246869715485248,0.06159750202791237,0.037930888570237575,0.09920607988455353,0.07839872588682287,0.08851898126252213
200101,0.13822245012707318,0.1478300384527378,0.14231139947193874,0.083785544766684,0.23934871360277887,0.26955137661956285
200102,0.170117,-0.025578973417356158,-0.1213883484509854,-0.12529619061681452,-0.04608192922076107,-0.12270349785140508
200103,-0.03559008577245305,-0.06536855169507653,-0.15922987177083828,0.009589306074078645,-0.0352171069499285,-0.04123349116813177
200104,-0.021680467399282356,0.11584795832003272,0.01457553193242428,-0.022650016384004983,0.024183728974762148,0.08869434360988905
200105,-0.020780278294850883,0.00796226815811731,0.0831753676902707,0.16949828795484706,-6.946466060579748e-05,0.016808
200106,-0.018643229085113174,-0.002693560404821145,0.015915281325246125,0.0543383688576004,0.05757654747731951,-0.03566729264085294
200107,0.05025416917243548,0.0020252902240648664,-0.0037555100233112367,-0.07593053121785658,-0.06243074544935912,
200108,0.003009,0.04239943390131569,-0.05671752401296604,-0.035778068951285075,-0.013620265911208285,
200109,-0.10362919850143411,-0.11025130208447585,-0.18019027497562096,-0.17584194944488857,-0.09991978488902348,0.011359462978594526
200110,0.014778837530985621,0.012606593418423295,0.1672430338276956,0.06129952687505402,0.03871955773406327,-0.06439917194887779
200111,0.13796747879791887,0.04716315763066888,0.215152,0.12265261489903376,0.0777354406151783,0.06424342676930592
200112,0.02404540263406328,0.055969316457784045,0.016211658021984324,0.09523008316147552,0.06121634965059085,0.028737506661985535
200201,0.02187428457103366,0.05707144333823695,0.02376273056141129,0.043851199567981336,0.059084312079776644,0.05095692243163934
200202,0.059291,0.0032449756230188706,-0.03484700880980812,-0.055345393157782904,0.12870265769093212,-0.10757397864879946
200203,0.03395059826459039,0.09655582445159777,0.08984661609188284,0.10266096469698865,0.07312718826551676,-0.039292059799346656
200204,-0.01681544963769925,0.08016782616700716,-0.01381000661416235,0.00945171872999668,0.014286613821103866,-0.020765201989480356
200205,0.02294997979076979,0.022325454625245253,-0.1196587277521553,-0.13566337246482196,-0.04664753008398374,-0.02683805020192361
200206,-0.08892562429896834,-0.03358918177912033,0.02653899677331631,-0.011488722036982903,-0.06615620889107321,-0.09337132361774361
200207,-0.12637919788461113,-0.12038763919313517,-0.061880145638097794,-0.13304283602208616,-0.12815919296548842,
200208,-0.03365144919456024,-0.04096840779831581,-0.00203400759130745,-0.03874471481266202,-0.035887864936717265,
200209,-0.06102775956739449,-0.07244474042434576,-0.025597923158101877,-0.07740874210889533,-0.049755690728338395,-0.07656356974968641
200210,0.03768983071168682,-0.0007288405304030062,0.2406977917032916,0.1283606523699927,0.009913507345787397,0.06095558683371
